ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
939 CHARLES AVE,03/04/2011 12:00:00 AM,Duplex,2,1,7,32500,"(44.95768135, -93.13986424)"
119 LYTON PLACE,06/11/2018 12:00:00 AM,Mixed Use,2,1,6,31400,"(44.96568478, -93.10503405)"
100 10TH ST E,03/23/2020 12:00:00 AM,Commercial,1,2,17,34202,"(44.95088376, -93.09532692)"
1067 COMO PLACE,04/16/2018 12:00:00 AM,Single Family Residential,2,5,10,31200,"(44.97333441, -93.13461986)"
1565 ROSS AVE,09/07/2018 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96599301, -93.03457361)"
1271 UNIVERSITY AVE W,05/29/2020 12:00:00 AM,Commercial,1,4,11,32300,"(44.95592422, -93.15377498)"
1576 GRIGGS ST N,07/26/2018 12:00:00 AM,Single Family Residential,2,5,10,30201,"(44.98882903, -93.14985553)"
2 EDGCUMBE PLACE,02/15/2018 12:00:00 AM,Single Family Residential,1,3,15,36600,"(44.91502598, -93.15054432)"
1470 KENT ST,01/21/2020 12:00:00 AM,Single Family Residential,2,5,6,30400,"(44.98542697, -93.12343498)"
685 MINNEHAHA AVE E,08/11/2010 12:00:00 AM,Commercial,2,6,4,31500,"(44.96311852, -93.07212196)"
134 CASE AVE,07/26/2019 12:00:00 AM,Single Family Residential,3,5,6,31400,"(44.96998887, -93.09498418)"
1273 SARGENT AVE,10/10/2019 12:00:00 AM,Single Family Residential,1,3,14,35300,"(44.93512583, -93.15388652)"
1089 FARRINGTON ST,06/12/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97406025, -93.11382402)"
1737 COTTAGE AVE E,04/29/2020 12:00:00 AM,Single Family Residential,2,6,2,30704,"(44.98306283, -93.02695094)"
425 RICE ST,04/16/2019 12:00:00 AM,Commercial,2,1,17,33700,"(44.95361819, -93.10780981)"
707 PREBLE ST,11/22/2019 12:00:00 AM,Duplex,2,6,5,33000,"(44.9625075, -93.07527055)"
1128 MACKUBIN ST,05/05/2009 12:00:00 AM,Duplex,2,5,6,30800,"(44.97530449, -93.12104279)"
896 YORK AVE,04/21/2020 12:00:00 AM,Single Family Residential,1,6,5,31600,"(44.96837965, -93.06258979)"
1136 LAFOND AVE,02/11/2016 12:00:00 AM,Single Family Residential,2,4,11,32300,"(44.9601206, -93.1481715)"
100 10TH ST E,03/23/2020 12:00:00 AM,Commercial,1,2,17,34202,"(44.95088376, -93.09532692)"
1253 CLEVELAND AVE N,08/05/2004 12:00:00 AM,Single Family Residential,2,4,12,30100,"(44.97876153, -93.18763715)"
1446 RICE ST,07/16/2019 12:00:00 AM,Commercial,1,5,6,30500,"(44.98485556, -93.10566994)"
313 TOPPING ST,03/24/2020 12:00:00 AM,Duplex,1,1,6,31300,"(44.96760651, -93.11326298)"
171 GRANITE ST,04/19/2017 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.96626249, -93.09321039)"
270 EARL ST,02/05/2019 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.94943939, -93.0555683)"
61 JESSAMINE AVE W,05/13/2010 12:00:00 AM,Duplex,2,5,6,30500,"(44.97479581, -93.10256264)"
560 MENDOTA ST,11/06/2019 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.95814154, -93.06331827)"
1971 NORTONIA AVE,11/22/2019 12:00:00 AM,Duplex,2,7,2,31802,"(44.96509452, -93.01762998)"
2060 3RD ST E,03/05/2019 12:00:00 AM,Single Family Residential,1,7,1,34702,"(44.95656843, -93.01355562)"
1245 WHITE BEAR AVE N,10/11/2019 12:00:00 AM,Single Family Residential,1,6,2,30704,"(44.97896604, -93.02550391)"
940 EDGERTON ST,07/03/2018 12:00:00 AM,Single Family Residential,1,6,5,31500,"(44.96961868, -93.07591697)"
119 LYTON PLACE,06/11/2018 12:00:00 AM,Mixed Use,2,1,6,31400,"(44.96568478, -93.10503405)"
1281 SHERBURNE AVE,08/08/2012 12:00:00 AM,Duplex,2,4,11,32300,"(44.95678919, -93.15445037)"
850 WHITE BEAR AVE N,11/16/2018 12:00:00 AM,Commercial,1,7,2,31801,"(44.9669877449914, -93.025133824385)"
631 WESTERN AVE N,10/13/2017 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.96041227, -93.11630239)"
307 MARYLAND AVE W,08/08/2008 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97749044, -93.11300432)"
536 IOWA AVE E,06/24/2008 12:00:00 AM,Single Family Residential,2,5,5,30601,"(44.98900799, -93.0781795)"
1093 4TH ST E,07/20/2007 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.9588924, -93.05422268)"
831 SMITH AVE S,08/05/2016 12:00:00 AM,Single Family Residential,2,2,3,37000,"(44.92105008, -93.10201471)"
1734 SIMS AVE,06/19/2018 12:00:00 AM,Duplex,1,6,2,31801,"(44.96937811, -93.02688683)"
1098 BRADLEY ST,04/17/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.97428353, -93.0784218)"
1138 FLANDRAU ST,04/24/2020 12:00:00 AM,Single Family Residential,1,6,2,31801,"(44.9756344, -93.02761602)"
626 REANEY AVE,01/20/2012 12:00:00 AM,Single Family Residential,2,6,5,31500,"(44.963795, -93.0741431)"
419 FRY ST,03/24/2009 12:00:00 AM,Single Family Residential,2,4,13,33400,"(44.95385756, -93.16977951)"
224 GROTTO ST N,05/17/2011 12:00:00 AM,Single Family Residential,2,1,8,33900,"(44.9480278, -93.13124017)"
1639 TAYLOR AVE,03/01/2017 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.96780938, -93.16955018)"
60 HAWTHORNE AVE E,08/15/2019 12:00:00 AM,Single Family Residential,1,5,6,30500,"(44.97815968, -93.09834646)"
213 BATES AVE,12/12/2018 12:00:00 AM,Commercial,2,7,4,34400,"(44.95280047, -93.06581868)"
842 UNIVERSITY AVE W,04/24/2019 12:00:00 AM,Single Family Residential,2,1,8,33500,"(44.95548214, -93.13567764)"
1600 7TH ST W,06/26/2018 12:00:00 AM,Commercial,2,2,9,36700,"(44.91650854, -93.14238354)"
1021 MINNEHAHA AVE E,03/02/2017 12:00:00 AM,Single Family Residential,2,7,4,31701,"(44.96314948, -93.05744411)"
1811 MONTANA AVE E,07/25/2019 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.98759289, -93.02373283)"
595 PARK ST,11/21/2008 12:00:00 AM,Duplex,2,1,7,42800,"(44.95940389, -93.10399817)"
705 WATSON AVE,03/06/2020 12:00:00 AM,Single Family Residential,1,2,9,36800,"(44.9242516, -93.12958474)"
507 ASHLAND AVE,08/09/2019 12:00:00 AM,Single Family Residential,1,1,8,35500,"(44.94462733, -93.12171946)"
1807 7TH ST E,11/07/2019 12:00:00 AM,Single Family Residential,1,7,2,31801,"(44.96687273, -93.02403206)"
885 MARGARET ST,02/05/2019 12:00:00 AM,Single Family Residential,1,7,4,33100,"(44.96133657, -93.06312513)"
1523 ST ALBANS ST N,06/17/2019 12:00:00 AM,Single Family Residential,2,5,10,30300,"(44.98699052, -93.12894387)"
485 BLAIR AVE,12/04/2015 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.96130436, -93.12066111)"
2171 5TH ST E,10/31/2018 12:00:00 AM,Single Family Residential,1,7,1,34702,"(44.95959927, -93.00873447)"
449 HATCH AVE,03/31/2020 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97115847, -93.11924856)"
489 SHERBURNE AVE,03/19/2018 12:00:00 AM,Single Family Residential,3,1,7,32600,"(44.95678658, -93.12072375)"
1066 DESOTO ST,07/03/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.97328121, -93.0808871)"
603 EDMUND AVE,10/29/2019 12:00:00 AM,Duplex,2,1,7,32600,"(44.95854683, -93.12554999)"
1560 REANEY AVE,08/11/2017 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96388552, -93.03452455)"
792 ROSE AVE E,02/19/2020 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.97647282, -93.06691482)"
959 HUDSON ROAD,06/25/2014 12:00:00 AM,Duplex,2,7,4,34500,"(44.9523909, -93.05985823)"
985 WOODBRIDGE ST,02/05/2014 12:00:00 AM,Single Family Residential,3,5,6,31300,"(44.97093948, -93.10868123)"
867 FULLER AVE,06/25/2019 12:00:00 AM,Single Family Residential,1,1,8,33500,"(44.95408331, -93.13684089)"
439 HERSCHEL ST,08/10/2016 12:00:00 AM,Single Family Residential,2,4,13,33200,"(44.95451765, -93.1735684)"
1179 7TH ST E,04/25/2016 12:00:00 AM,Commercial,3,6,4,31701,"(44.96678035, -93.05055753)"
1630 UNIVERSITY AVE W,09/11/2017 12:00:00 AM,Commercial,1,4,13,33400,"(44.95536474, -93.16902731)"
1199 BEECH ST,05/02/2018 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.96233123, -93.04984249)"
242 CONGRESS ST E,01/04/2017 12:00:00 AM,Single Family Residential,2,2,3,36100,"(44.93129397, -93.07362194)"
680 MINNEHAHA AVE E BLDG 3,07/21/2005 12:00:00 AM,Multi-family Residential,2,,,,"(44.96289144, -93.07224302)"
825 UNIVERSITY AVE W,04/20/2009 12:00:00 AM,Commercial,2,1,7,32500,"(44.95591044, -93.13510463)"
949 PAYNE AVE,09/07/2017 12:00:00 AM,Commercial,1,6,5,31500,"(44.96990716, -93.07369804)"
404 FRONT AVE APT 4,01/23/2020 12:00:00 AM,Multi-family Residential,1,1,6,31300,"(44.97005071, -93.11728005)"
203 KING ST W,12/06/2019 12:00:00 AM,Single Family Residential,1,2,3,37100,"(44.92771544, -93.09411119)"
1025 MINNEHAHA AVE E,08/20/2018 12:00:00 AM,Single Family Residential,2,7,4,31701,"(44.96315982, -93.05725138)"
586 BURGESS ST,03/31/2020 12:00:00 AM,Single Family Residential,1,1,6,31300,"(44.9682167, -93.12506314)"
444 PAGE ST E,06/14/2018 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.92471475, -93.06676567)"
596 CHARLES AVE,05/29/2019 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.95740381, -93.12537584)"
2079 MARGARET ST,12/12/2019 12:00:00 AM,Single Family Residential,1,7,1,34702,"(44.96147314, -93.01281707)"
1194 ALBEMARLE ST,12/26/2018 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97713134, -93.10698339)"
25 JESSAMINE AVE E,04/03/2019 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.97483592, -93.10016552)"
530 GERANIUM AVE E,08/31/2012 12:00:00 AM,Single Family Residential,3,5,5,30900,"(44.97545624, -93.07805531)"
1618 HAMLINE AVE N,07/11/2018 12:00:00 AM,Single Family Residential,2,5,10,30201,"(44.98989095, -93.15634632)"
1076 WESTERN AVE N,12/18/2018 12:00:00 AM,Single Family Residential,1,5,6,30800,"(44.973692, -93.11591171)"
689 PARKVIEW AVE,07/01/2019 12:00:00 AM,Single Family Residential,2,5,10,30300,"(44.98385176, -93.12921824)"
694 SHERBURNE AVE,08/06/2012 12:00:00 AM,Duplex,2,1,7,32500,"(44.95648896, -93.1295784)"
298 JENKS AVE,10/29/2019 12:00:00 AM,Duplex,1,5,5,30900,"(44.97084839, -93.08785107)"
118 MANITOBA AVE,08/12/2014 12:00:00 AM,Duplex,2,1,6,31400,"(44.96820955, -93.10497778)"
1400 DAYTON AVE,05/22/2019 12:00:00 AM,Commercial,2,1,13,33400,"(44.94735219, -93.15948332)"
1350 LAUREL AVE,08/08/2018 12:00:00 AM,Single Family Residential,1,1,13,35200,"(44.94481508, -93.15738956)"
1010 EDGERTON ST,11/06/2019 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.97163632, -93.0758044)"
556 RICE ST,06/23/2010 12:00:00 AM,Commercial,2,1,7,42800,"(44.95815973, -93.10577844)"
904 CHARLOTTE ST,10/23/2013 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.96830995, -93.1702813)"
247 RICHMOND ST,04/02/2020 12:00:00 AM,Single Family Residential,1,2,9,36900,"(44.93388359, -93.11860686)"
947 FREMONT AVE,01/18/2018 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95776234, -93.06039703)"
2022 STILLWATER AVE,10/27/2008 12:00:00 AM,Single Family Residential,3,7,2,31802,"(44.96892399, -93.0149848)"
543 MICHIGAN ST,07/05/2019 12:00:00 AM,Duplex,1,2,9,36900,"(44.93512447, -93.12281567)"
656 BUSH AVE,03/01/2010 12:00:00 AM,Multi-family Residential,2,6,5,31500,"(44.96464486, -93.07282965)"
655 JESSAMINE AVE E,06/19/2019 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.97487453, -93.07275233)"
1794 MINNEHAHA AVE E,06/14/2019 12:00:00 AM,Duplex,2,7,1,34701,"(44.96291445, -93.02457413)"
65 WINIFRED ST W,03/19/2019 12:00:00 AM,Single Family Residential,1,2,3,37100,"(44.93166185, -93.08838782)"
720 EUCLID ST,10/16/2019 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.9540656, -93.06609232)"
1758 STILLWATER AVE,10/04/2013 12:00:00 AM,Single Family Residential,2,6,2,31801,"(44.96751273, -93.02624636)"
61 COMO AVE,02/07/2020 12:00:00 AM,Multi-family Residential,2,1,7,42800,"(44.95910417, -93.10193403)"
742 EUCLID ST,12/22/2016 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.954632, -93.0650233)"
398 TOTEM ROAD,11/25/2019 12:00:00 AM,Multi-family Residential,1,7,1,37403,"(44.92529269, -93.01229142)"
572 EARL ST,08/20/2018 12:00:00 AM,Commercial,1,7,4,34601,"(44.95885502, -93.05563021)"
632 LEXINGTON PKWY N,04/14/2016 12:00:00 AM,Duplex,2,1,7,32400,"(44.96040153, -93.14626654)"
827 VAN BUREN AVE,08/19/2014 12:00:00 AM,Duplex,2,1,7,32400,"(44.9621988, -93.13510041)"
663 3RD ST E,04/26/2011 12:00:00 AM,Multi-family Residential,2,7,4,34400,"(44.95479641, -93.07125461)"
975 MARSHALL AVE,06/27/2017 12:00:00 AM,Single Family Residential,3,1,8,33800,"(44.94873562, -93.14117343)"
1878 ORANGE AVE E,07/03/2019 12:00:00 AM,Single Family Residential,1,6,2,30702,"(44.97913441, -93.02116079)"
233 CESAR CHAVEZ ST,07/02/2018 12:00:00 AM,Single Family Residential,2,2,3,36100,"(44.92921124, -93.0752964)"
1915 IVY AVE E,10/16/2012 12:00:00 AM,Single Family Residential,3,6,2,30702,"(44.98126284, -93.01942865)"
1161 NORTON ST,07/05/2011 12:00:00 AM,Duplex,2,5,6,30800,"(44.97617818, -93.12023177)"
1708 MINNEHAHA AVE E,09/20/2019 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.96291791, -93.02837512)"
598 LAFOND AVE,03/21/2019 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.96011971, -93.12539481)"
1845 WILSON AVE,06/07/2019 12:00:00 AM,Single Family Residential,1,7,1,34701,"(44.95421163, -93.02230016)"
767 4TH ST E,01/09/2009 12:00:00 AM,Duplex,2,7,4,34500,"(44.9576794, -93.06707715)"
1038 MACKUBIN ST,04/22/2020 12:00:00 AM,Single Family Residential,1,5,6,30800,"(44.97253338, -93.12094623)"
648 BUSH AVE,08/27/2010 12:00:00 AM,Multi-family Residential,2,6,5,31500,"(44.96469162, -93.07308266)"
1286 SHERBURNE AVE,09/09/2014 12:00:00 AM,Single Family Residential,3,4,11,32300,"(44.95646369, -93.15462894)"
2 EDGCUMBE PLACE,02/15/2018 12:00:00 AM,Single Family Residential,1,3,15,36600,"(44.91502598, -93.15054432)"
132 WESTERN AVE S,10/08/2018 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93754175, -93.11584609)"
377 MARYLAND AVE W,02/14/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97748001, -93.11595527)"
750 CHATSWORTH ST S,04/05/2019 12:00:00 AM,Duplex,2,2,9,36700,"(44.91894068, -93.14108708)"
1905 IGLEHART AVE,08/15/2019 12:00:00 AM,Single Family Residential,2,4,13,33300,"(44.94963928, -93.1807538)"
670 SIMS AVE,06/24/2014 12:00:00 AM,Single Family Residential,2,6,5,31500,"(44.96922321, -93.07225507)"
422 JESSAMINE AVE E,09/28/2017 12:00:00 AM,Duplex,2,5,5,30900,"(44.97447497, -93.08291526)"
1349 SCHLETTI ST,01/25/2018 12:00:00 AM,Single Family Residential,1,5,6,30400,"(44.98186847, -93.12264691)"
474 CURTICE ST E,03/29/2008 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.92285808, -93.06568468)"
1904 PRINCETON AVE,07/12/2007 12:00:00 AM,Single Family Residential,3,3,14,35100,"(44.93594881, -93.18080701)"
802 MOUND ST,04/20/2020 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.95134905, -93.06313382)"
1803 MARGARET ST,01/23/2019 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.96147472, -93.02413285)"
842 RICE ST,11/24/2010 12:00:00 AM,Commercial,2,1,6,31400,"(44.96672432, -93.10576695)"
889 AGATE ST,06/01/2007 12:00:00 AM,Multi-family Residential,2,5,6,31400,"(44.96800252, -93.09439511)"
1610 ASHLAND AVE,10/17/2019 12:00:00 AM,Single Family Residential,1,4,13,35000,"(44.9438023, -93.16829222)"
1033 GALTIER ST,09/10/2015 12:00:00 AM,Duplex,2,5,6,30800,"(44.9725273, -93.11130473)"
780 STEWART AVE,07/07/2017 12:00:00 AM,Multi-family Residential,2,2,9,36800,"(44.92072838, -93.13127696)"
965 MISSISSIPPI RIVER BLVD S,08/01/2018 12:00:00 AM,Mixed Use,1,3,15,37601,"(44.91278959, -93.19796605)"
733 CASE AVE,07/24/2018 12:00:00 AM,Duplex,2,6,5,31000,"(44.97058473, -93.06960833)"
1841 UNIVERSITY AVE W,03/03/2015 12:00:00 AM,Commercial,2,4,11,31900,"(44.95636302, -93.17808329)"
874 HOWELL ST N,11/20/2018 12:00:00 AM,Duplex,2,4,11,32000,"(44.96743607, -93.18083837)"
1004 THOMAS AVE,06/18/2013 12:00:00 AM,Duplex,2,1,7,32500,"(44.95920577, -93.14257873)"
1503 VAN BUREN AVE,12/13/2018 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.9621339, -93.16409394)"
1825 MECHANIC AVE,11/06/2017 12:00:00 AM,Duplex,2,6,2,31801,"(44.97312441, -93.02344732)"
1297 7TH ST W,01/29/2020 12:00:00 AM,Single Family Residential,2,2,9,36800,"(44.92202762, -93.13544149)"
991 FARRINGTON ST,01/24/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97125515, -93.11379585)"
1018 GERANIUM AVE E,04/10/2020 12:00:00 AM,Single Family Residential,1,6,5,31100,"(44.97556374, -93.05753143)"
971 ARCADE ST,11/29/2016 12:00:00 AM,Commercial,1,6,5,31000,"(44.97070206, -93.06624148)"
2062 COMO AVE,11/09/2001 12:00:00 AM,Single Family Residential,2,4,12,30100,"(44.97690247, -93.18743997)"
663 YORK AVE,10/24/2018 12:00:00 AM,Single Family Residential,2,6,5,31500,"(44.96855375, -93.07247848)"
1110 KINGSFORD ST,04/21/2020 12:00:00 AM,Single Family Residential,1,6,2,31801,"(44.97465026, -93.02886604)"
55 MANITOBA AVE,06/01/2007 12:00:00 AM,Duplex,2,1,6,31400,"(44.96846246, -93.10215937)"
975 HUDSON ROAD,11/19/2015 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95237257, -93.05925407)"
1094 ROSS AVE,01/04/2019 12:00:00 AM,Duplex,2,6,4,31701,"(44.96568553, -93.0543588)"
1560 CANFIELD AVE,02/09/2017 12:00:00 AM,Single Family Residential,2,4,10,30201,"(44.97990281, -93.16609224)"
146 WATER ST W,12/18/2018 12:00:00 AM,Mixed Use,2,2,3,37100,"(44.93734679, -93.09323696)"
587 COOK AVE E,10/14/2005 12:00:00 AM,Duplex,2,6,5,31000,"(44.97304842, -93.07561221)"
1355 PAYNE AVE,01/06/2017 12:00:00 AM,Single Family Residential,2,6,5,30602,"(44.98216596, -93.07379823)"
1143 WOODBRIDGE ST,05/02/2018 12:00:00 AM,Single Family Residential,3,5,6,30800,"(44.97551954, -93.10869364)"
38 WINNIPEG AVE,06/26/2018 12:00:00 AM,Single Family Residential,2,1,6,31400,"(44.96726144, -93.10176675)"
670 PAYNE AVE,11/27/2018 12:00:00 AM,Commercial,1,7,5,33000,"(44.96141837, -93.07579166)"
685 MINNEHAHA AVE E,08/11/2010 12:00:00 AM,Commercial,2,6,4,31500,"(44.96311852, -93.07212196)"
881 JOHNSON PKWY,09/19/2019 12:00:00 AM,Single Family Residential,1,6,4,31701,"(44.96799718, -93.0451564)"
1362 PALACE AVE,02/19/2020 12:00:00 AM,Single Family Residential,1,3,14,36500,"(44.92865801, -93.15784867)"
756 FULLER AVE,03/18/2020 12:00:00 AM,Single Family Residential,1,1,8,33500,"(44.95378781, -93.13218991)"
740 TATUM ST,07/14/2014 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.96343722, -93.1796323)"
979 4TH ST E,09/17/2015 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95867563, -93.05922699)"
1549 HAZEL ST N,12/03/2019 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.9879978, -93.02034868)"
1145 SNELLING AVE N,04/14/2020 12:00:00 AM,Commercial,3,4,10,30100,"(44.97563889, -93.16813008)"
1696 BOHLAND AVE,06/06/2017 12:00:00 AM,Single Family Residential,2,3,15,37500,"(44.91595109, -93.17188779)"
401 ROSE AVE E,08/23/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.97658035, -93.08346431)"
455 GRAND AVE,01/04/2019 12:00:00 AM,Single Family Residential,1,2,16,35800,"(44.93922831, -93.11933308)"
285 FILLMORE AVE E,04/17/2020 12:00:00 AM,Commercial,1,2,3,36100,"(44.9438204, -93.07863426)"
1400 UNIVERSITY AVE W,04/16/2019 12:00:00 AM,Commercial,2,1,13,33400,"(44.95360857, -93.15915219)"
943 DESOTO ST,12/28/2012 12:00:00 AM,Single Family Residential,2,5,5,31500,"(44.96957908, -93.08136956)"
1293 PAYNE AVE,08/10/2018 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.98028137, -93.07377349)"
1739 YORK AVE,10/18/2019 12:00:00 AM,Single Family Residential,2,6,2,31801,"(44.96889274, -93.02684769)"
735 MARGARET ST,04/23/2010 12:00:00 AM,Multi-family Residential,3,7,4,33100,"(44.96132763, -93.06974182)"
434 EDMUND AVE,08/09/2019 12:00:00 AM,Duplex,2,1,7,32600,"(44.95832872, -93.11838998)"
