ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
0 KELLOGG BLVD E,01/11/2013 12:00:00 AM,Commercial,2,2,4,34400,"(44.95121096, -93.07641955)"
594 REANEY AVE,08/06/2009 12:00:00 AM,Duplex,2,6,5,31500,"(44.96376644, -93.07541994)"
560 CHARLES AVE,05/03/2019 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.95741776, -93.1240068)"
1596 HOYT AVE E,04/21/2016 12:00:00 AM,Single Family Residential,1,6,2,30703,"(44.98819495, -93.03306174)"
953 JENKS AVE,09/05/2019 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.97136283, -93.06020049)"
173 COOK AVE E,04/05/2017 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.97300787, -93.09330712)"
2442 STEWART AVE,02/05/2020 12:00:00 AM,Single Family Residential,1,3,15,37602,"(44.89998779, -93.1663134)"
654 WINSLOW AVE,03/04/2020 12:00:00 AM,Single Family Residential,2,2,3,37100,"(44.92615303, -93.08936135)"
1576 GRIGGS ST N,07/26/2018 12:00:00 AM,Single Family Residential,2,5,10,30201,"(44.98882903, -93.14985553)"
869 5TH ST E,06/02/2016 12:00:00 AM,Commercial,1,7,4,33100,"(44.95954289, -93.06397101)"
27 EMPIRE DRIVE,02/04/2013 12:00:00 AM,Commercial,3,1,7,42800,"(44.96290113, -93.10051383)"
253 AVON ST N,01/19/2017 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.94909317, -93.13335907)"
368 SHERBURNE AVE,09/06/2019 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.95653674, -93.115661)"
1144 FAIRMOUNT AVE,03/13/2019 12:00:00 AM,Single Family Residential,2,2,16,35300,"(44.93664925, -93.14848754)"
420 CEDAR ST,06/19/2009 12:00:00 AM,Commercial,2,2,17,34201,"(44.94766356, -93.09428778)"
134 ELIZABETH ST E,08/28/2018 12:00:00 AM,Single Family Residential,3,2,3,37200,"(44.92697764, -93.07968068)"
1033 REANEY AVE,08/15/2019 12:00:00 AM,Duplex,2,7,4,31701,"(44.96409945, -93.05698759)"
466 LAUREL AVE,05/03/2000 12:00:00 AM,Single Family Residential,3,1,8,35500,"(44.94523453, -93.11986934)"
1336 DAYTON AVE,10/02/2014 12:00:00 AM,Duplex,2,1,13,35300,"(44.94731307, -93.15657788)"
51 LITCHFIELD ST,08/27/2018 12:00:00 AM,Single Family Residential,2,1,6,31400,"(44.96958879, -93.10222122)"
989 3RD ST E,11/01/2011 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95685449, -93.05882258)"
1440 MARSHALL AVE,04/10/2019 12:00:00 AM,Commercial,2,1,13,33400,"(44.94820282, -93.16124529)"
1028 ROSS AVE,08/20/2018 12:00:00 AM,Single Family Residential,1,6,4,31701,"(44.96565378, -93.05720732)"
1803 IVY AVE E,08/16/2017 12:00:00 AM,Duplex,2,6,2,30702,"(44.98125333, -93.02415953)"
674 OHIO ST,08/09/2019 12:00:00 AM,Single Family Residential,1,2,3,37100,"(44.92577603, -93.09749761)"
476 STINSON ST,09/25/2019 12:00:00 AM,Single Family Residential,2,1,6,31300,"(44.96912132, -93.12027649)"
1800 MISSISSIPPI RIVER BLVD S,10/01/2019 12:00:00 AM,Single Family Residential,1,3,15,37601,"(44.89750076, -93.18396833)"
730 TRANSFER ROAD,08/19/2016 12:00:00 AM,Commercial,1,4,11,31900,"(44.96305407, -93.18481142)"
1845 UNIVERSITY AVE W,10/28/2014 12:00:00 AM,Commercial,2,4,11,31900,"(44.95642498, -93.17823374)"
1514 VAN BUREN AVE,04/18/2017 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.96181861, -93.16455488)"
345 GOODRICH AVE,05/18/2016 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93798379, -93.11466232)"
1880 AMES AVE,11/16/2012 12:00:00 AM,Duplex,2,6,2,31801,"(44.97193246, -93.02101623)"
974 ARCADE ST,05/27/2016 12:00:00 AM,Commercial,2,6,5,31600,"(44.97066686, -93.06561004)"
967 FREMONT AVE,12/20/2019 12:00:00 AM,Duplex,2,7,4,34500,"(44.95775211, -93.05966479)"
936 MARSHALL AVE,04/28/2010 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.94832354, -93.13975942)"
523 BEAUMONT ST,09/26/2019 12:00:00 AM,Single Family Residential,1,5,5,33000,"(44.96177791, -93.07830021)"
1295 GALTIER ST,04/19/2018 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.98016219, -93.11123528)"
395 MICHIGAN ST,05/15/1996 12:00:00 AM,Single Family Residential,3,2,9,36900,"(44.93525986, -93.11670931)"
2002 BUSH AVE,12/12/2019 12:00:00 AM,Single Family Residential,1,7,2,31802,"(44.96458529, -93.01592804)"
293 HARRISON AVE,09/12/2019 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93978976, -93.11252533)"
80 MISSISSIPPI RIVER BLVD N,10/29/2019 12:00:00 AM,Single Family Residential,1,4,13,43000,"(44.94320019, -93.19791792)"
1093 6TH ST E,02/28/2019 12:00:00 AM,Single Family Residential,1,7,4,34601,"(44.96050469, -93.05426521)"
884 WESTMINSTER ST,12/12/2018 12:00:00 AM,Single Family Residential,2,5,5,33000,"(44.96783397, -93.08529411)"
46 FRONT AVE,07/19/2018 12:00:00 AM,Duplex,2,1,6,31400,"(44.97015027, -93.10206885)"
657 SHERBURNE AVE,01/31/2017 12:00:00 AM,Single Family Residential,3,1,7,32500,"(44.95676679, -93.12795926)"
875 HAGUE AVE,04/10/2018 12:00:00 AM,Duplex,2,1,8,42900,"(44.94591165, -93.13716976)"
1829 UNIVERSITY AVE W,01/20/2017 12:00:00 AM,Commercial,1,4,11,31900,"(44.95639346, -93.17766307)"
412 HOLLY AVE,09/05/2013 12:00:00 AM,Single Family Residential,3,1,8,35800,"(44.94326335, -93.11748607)"
200 SYCAMORE ST W,07/03/2019 12:00:00 AM,Commercial,1,1,6,31300,"(44.9646338, -93.10819779)"
1490 7TH ST E,07/21/2017 12:00:00 AM,Single Family Residential,2,7,2,31702,"(44.96657645, -93.03756494)"
998 BAYARD AVE,05/03/2019 12:00:00 AM,Single Family Residential,2,2,9,36700,"(44.92222525, -93.14239386)"
765 MINNEHAHA AVE E,03/04/2020 12:00:00 AM,Single Family Residential,1,6,4,33100,"(44.96317201, -93.06813891)"
1650 MINNEHAHA AVE E,02/20/2020 12:00:00 AM,Single Family Residential,1,7,1,34602,"(44.96293605, -93.0309809)"
1011 BURNS AVE,09/07/2018 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.94886992, -93.05771666)"
2210 EDGCUMBE ROAD,11/19/2019 12:00:00 AM,Single Family Residential,1,3,15,37500,"(44.9086126, -93.17277989)"
1486 MIDWAY PKWY,06/05/2018 12:00:00 AM,Single Family Residential,1,4,10,30201,"(44.98058661, -93.16300818)"
1731 IVY AVE E,09/05/2019 12:00:00 AM,Single Family Residential,2,6,2,30704,"(44.98131561, -93.02718108)"
1235 MARGARET ST,10/09/2019 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.96139891, -93.04845913)"
821 AGATE ST,06/29/2018 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.96610849, -93.09440382)"
117 UNIVERSITY AVE W,12/20/2013 12:00:00 AM,Commercial,2,1,7,42800,"(44.95613756, -93.10498612)"
1111 CASE AVE,04/24/2018 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.97045252, -93.05361781)"
624 STATE ST,01/07/2020 12:00:00 AM,Duplex,1,2,3,37200,"(44.92735673, -93.07906806)"
1726 4TH ST E,05/01/2020 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.95846005, -93.02746829)"
953 WESTMINSTER ST,09/04/2019 12:00:00 AM,Single Family Residential,1,5,5,33000,"(44.96983085, -93.08572134)"
711 SIMS AVE,06/21/2017 12:00:00 AM,Duplex,2,6,5,31500,"(44.96948082, -93.07048809)"
955 BRADLEY ST,02/05/2016 12:00:00 AM,Single Family Residential,2,5,5,31500,"(44.96993624, -93.07878748)"
1466 OSCEOLA AVE,08/06/2019 12:00:00 AM,Single Family Residential,2,3,14,35200,"(44.93590114, -93.16224238)"
540 FOREST ST,11/30/2018 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.95750081, -93.06070993)"
32 BENHILL ROAD,06/08/2016 12:00:00 AM,Single Family Residential,2,2,16,36700,"(44.93236419, -93.14135395)"
521 YORK AVE,08/01/2019 12:00:00 AM,Single Family Residential,2,5,5,31500,"(44.96850107, -93.07838665)"
888 PRIOR AVE N,09/23/2016 12:00:00 AM,Commercial,3,4,11,32000,"(44.96775141, -93.18211326)"
2200 LARPENTEUR AVE E,11/20/2018 12:00:00 AM,Commercial,2,6,2,30702,"(44.99087821, -93.00838026)"
1629 HARTFORD AVE,12/26/2019 12:00:00 AM,Single Family Residential,2,3,15,36400,"(44.92354712, -93.16910164)"
1258 RICE ST,02/11/2009 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.97908427, -93.10557332)"
302 CHEROKEE AVE,09/05/2017 12:00:00 AM,Duplex,2,2,3,37000,"(44.93220174, -93.09839505)"
893 HUDSON ROAD,01/13/2015 12:00:00 AM,Duplex,2,7,4,34400,"(44.95241019, -93.06303223)"
942 GALTIER ST,03/05/2020 12:00:00 AM,Single Family Residential,1,1,6,31300,"(44.96960921, -93.11089099)"
701 HAZEL ST N,03/09/2020 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.96253218, -93.02044585)"
581 THOMAS AVE,06/06/2019 12:00:00 AM,Duplex,1,1,7,32600,"(44.9594387, -93.12479572)"
436 GRIFFITH ST,02/18/2020 12:00:00 AM,Single Family Residential,1,7,4,34601,"(44.95465634, -93.0497116)"
106 DOUGLAS ST,04/10/2018 12:00:00 AM,Duplex,2,2,9,36000,"(44.93826197, -93.11086274)"
378 JESSAMINE AVE E,04/27/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.97448767, -93.08455649)"
575 MCKNIGHT ROAD S,11/15/2016 12:00:00 AM,Single Family Residential,2,7,1,37403,"(44.92404651, -93.00561997)"
1080 UNIVERSITY AVE W,04/30/2015 12:00:00 AM,Commercial,2,1,8,33500,"(44.95554313, -93.14547304)"
939 CHARLES AVE,03/04/2011 12:00:00 AM,Duplex,2,1,7,32500,"(44.95768135, -93.13986424)"
727 SHERBURNE AVE,11/27/2018 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.95679044, -93.13083282)"
2101 KNAPP ST,10/06/2011 12:00:00 AM,Multi-family Residential,2,4,12,30100,"(44.97983527, -93.18917006)"
1565 ROSS AVE,09/07/2018 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96599301, -93.03457361)"
1105 WILSON AVE,12/12/2019 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.95416947, -93.05382076)"
554 CHARLES AVE,02/15/2018 12:00:00 AM,Duplex,2,1,7,32600,"(44.95743833, -93.12344986)"
811 4TH ST E,10/30/2006 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95822343, -93.06589658)"
95 LITCHFIELD ST,06/08/2016 12:00:00 AM,Single Family Residential,2,1,6,31400,"(44.96961003, -93.10405495)"
1978 PALACE AVE,11/09/2017 12:00:00 AM,Single Family Residential,2,3,14,36300,"(44.92871376, -93.18384684)"
865 ATLANTIC ST,03/11/2016 12:00:00 AM,Commercial,1,6,4,31701,"(44.96735103, -93.04843771)"
1308 VICTORIA ST N,10/30/2001 12:00:00 AM,Single Family Residential,2,5,10,30300,"(44.98060192, -93.13513166)"
925 COOK AVE E,03/17/2017 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.97313382, -93.06155162)"
373 NEBRASKA AVE W,10/29/2018 12:00:00 AM,Single Family Residential,2,5,6,30400,"(44.98652687, -93.11563397)"
1079 MARYLAND AVE E,06/11/2018 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.9776901, -93.05486022)"
1013 JAMESON ST,11/02/2016 12:00:00 AM,Duplex,2,5,10,31200,"(44.97169123, -93.13256022)"
699 SNELLING AVE N,07/02/2019 12:00:00 AM,Commercial,2,4,11,32100,"(44.96222907, -93.16748896)"
1722 REANEY AVE,06/27/2019 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96371826, -93.02755833)"
2075 SCUDDER ST,08/05/2004 12:00:00 AM,Single Family Residential,2,4,12,30100,"(44.97876189, -93.18784545)"
1628 DARLENE ST,11/05/2013 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.99046729, -93.01862924)"
862 PASCAL ST N,04/20/2018 12:00:00 AM,Single Family Residential,1,4,11,32200,"(44.96713927, -93.16200427)"
277 FILLMORE AVE E,04/17/2020 12:00:00 AM,Commercial,1,2,3,36100,"(44.94381332, -93.07943398)"
971 JENKS AVE,03/10/2010 12:00:00 AM,Single Family Residential,1,6,5,31600,"(44.97136171, -93.05945526)"
1508 COMO AVE,07/29/2003 12:00:00 AM,Duplex,2,4,10,30201,"(44.97712697, -93.16385771)"
633 CAPITOL BLVD,08/02/2019 12:00:00 AM,Single Family Residential,2,1,7,42800,"(44.96048238, -93.10242806)"
854 LAWSON AVE E,07/23/2019 12:00:00 AM,Duplex,1,6,5,31600,"(44.97198542, -93.06454813)"
925 MAGNOLIA AVE E,06/29/2010 12:00:00 AM,Duplex,2,6,5,31100,"(44.9740335, -93.06147427)"
666 FULLER AVE,10/05/2018 12:00:00 AM,Single Family Residential,2,1,8,33500,"(44.95377516, -93.12822363)"
663 IGLEHART AVE,05/07/2019 12:00:00 AM,Single Family Residential,1,1,8,33900,"(44.94958212, -93.12811854)"
730 DESOTO ST,10/25/2016 12:00:00 AM,Duplex,2,5,5,31500,"(44.96327102, -93.08095609)"
677 PIERCE BUTLER ROUTE,01/23/2014 12:00:00 AM,Commercial,2,1,7,32400,"(44.96514262, -93.12870133)"
363 WOODLAWN AVE,04/23/2018 12:00:00 AM,Single Family Residential,2,3,14,43000,"(44.9305073, -93.1961617)"
1626 ENGLEWOOD AVE,08/16/2007 12:00:00 AM,Multi-family Residential,2,4,11,32100,"(44.96387699, -93.1690929)"
605 STRYKER AVE,04/17/2018 12:00:00 AM,Commercial,2,2,3,37100,"(44.92770752, -93.08845653)"
365 MICHIGAN ST,07/12/1995 12:00:00 AM,Single Family Residential,2,2,9,36000,"(44.93495123, -93.1152883)"
327 WINIFRED ST E,10/28/2019 12:00:00 AM,Single Family Residential,2,2,3,36100,"(44.9297476, -93.07037765)"
1023 JESSIE ST,12/09/2004 12:00:00 AM,Duplex,2,5,5,30900,"(44.97216721, -93.07754073)"
871 STICKNEY ST,12/07/2016 12:00:00 AM,Single Family Residential,1,2,3,37200,"(44.91970825, -93.0633428)"
1784 NORFOLK AVE,09/24/2013 12:00:00 AM,Single Family Residential,2,3,15,37602,"(44.89784472, -93.17574315)"
1976 FAIRMOUNT AVE,11/06/2014 12:00:00 AM,Single Family Residential,2,4,14,34900,"(44.93684723, -93.18386002)"
2117 MOHAWK AVE,05/27/2010 12:00:00 AM,Single Family Residential,1,7,2,31802,"(44.96819911, -93.01330306)"
495 KENNY ROAD,07/10/2019 12:00:00 AM,Commercial,2,5,5,33000,"(44.95748513, -93.07930334)"
1006 3RD ST E,10/31/2019 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.95662718, -93.05797522)"
1509 MARSHALL AVE,10/20/2014 12:00:00 AM,Commercial,2,1,13,33400,"(44.94860796, -93.1638708)"
1992 WELLESLEY AVE,08/27/2018 12:00:00 AM,Single Family Residential,1,3,14,36300,"(44.93143906, -93.18449933)"
1628 VAN BUREN AVE,07/30/2019 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.96177396, -93.16907853)"
100 LEXINGTON PKWY N,10/02/2019 12:00:00 AM,Duplex,1,1,8,42900,"(44.94439394, -93.14627641)"
887 CHARLES AVE,12/02/2019 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.95766869, -93.1376697)"
412 GOODRICH AVE,12/31/2014 12:00:00 AM,Single Family Residential,3,2,9,36900,"(44.93759181, -93.11738559)"
1722 ARLINGTON AVE E,10/31/2013 12:00:00 AM,Single Family Residential,2,6,2,30704,"(44.98454502, -93.02758274)"
1941 UNIVERSITY AVE W,06/15/2018 12:00:00 AM,Mixed Use,2,4,11,31900,"(44.95813753, -93.18071391)"
69 GARFIELD ST,04/05/2010 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93928253, -93.11372992)"
647 SHERBURNE AVE,07/19/2018 12:00:00 AM,Single Family Residential,1,1,7,32500,"(44.95678551, -93.12749684)"
364 MAPLE ST,12/24/2008 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95829623, -93.06855973)"
585 JEFFERSON AVE,11/09/2018 12:00:00 AM,Single Family Residential,2,2,9,36900,"(44.93076826, -93.12416856)"
47 DOUGLAS ST,09/16/2009 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93994778, -93.11120531)"
975 REANEY AVE,02/11/2016 12:00:00 AM,Multi-family Residential,2,7,4,31701,"(44.9640966, -93.05940097)"
318 EDMUND AVE,10/04/2012 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.9583022, -93.11362018)"
1440 ROBLYN AVE,08/06/2010 12:00:00 AM,Commercial,3,1,13,33400,"(44.95077115, -93.16116781)"
120 WINTER ST,12/18/2019 12:00:00 AM,Single Family Residential,2,1,7,42800,"(44.95983192, -93.10502174)"
847 HUDSON ROAD,08/10/1999 12:00:00 AM,Commercial,3,7,4,34400,"(44.95238319, -93.06481546)"
917 FREMONT AVE,08/29/2018 12:00:00 AM,Duplex,2,7,4,34500,"(44.95772828, -93.06177017)"
1725 BEECH ST,09/24/2014 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.96235073, -93.02751201)"
1764 BUSH AVE,10/26/2018 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96478404, -93.0259806)"
1853 MINNEHAHA AVE E,03/13/2020 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96325761, -93.02212057)"
1108 6TH ST E,06/19/2019 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.96023903, -93.0536621)"
1554 MIDWAY PKWY,08/07/2012 12:00:00 AM,Commercial,2,4,10,30201,"(44.98054374, -93.16539927)"
181 FRONT AVE,11/06/2019 12:00:00 AM,Single Family Residential,1,5,6,31300,"(44.97033028, -93.10777224)"
253 UNIVERSITY AVE W,03/05/2018 12:00:00 AM,Commercial,1,1,7,32700,"(44.95595409, -93.1108941)"
853 CONWAY ST,12/30/2010 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95595519, -93.06441724)"
1106 PAYNE AVE,02/28/2018 12:00:00 AM,Commercial,2,6,5,31000,"(44.97452392, -93.07340904)"
362 TOPPING ST,11/13/2017 12:00:00 AM,Single Family Residential,1,1,6,31300,"(44.96735315, -93.11535822)"
864 MARION ST,05/14/2010 12:00:00 AM,Duplex,3,1,6,31300,"(44.96729678, -93.10957842)"
630 OHIO ST,07/06/2016 12:00:00 AM,Single Family Residential,2,2,3,37100,"(44.92703592, -93.09753069)"
1637 BIRMINGHAM ST,02/20/2020 12:00:00 AM,Single Family Residential,1,6,2,30703,"(44.99075376, -93.04075762)"
779 CARROLL AVE,01/11/2019 12:00:00 AM,Single Family Residential,2,1,8,33500,"(44.95045933, -93.13303664)"
830 IGLEHART AVE,03/22/2011 12:00:00 AM,Duplex,2,1,8,33800,"(44.94931386, -93.13538365)"
1282 HAGUE AVE,10/23/2018 12:00:00 AM,Single Family Residential,3,1,13,35300,"(44.94569545, -93.1544906)"
54 HATCH AVE,06/11/2019 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.97098976, -93.10232849)"
664 PLUM ST,02/16/2018 12:00:00 AM,Duplex,1,7,4,34400,"(44.95103743, -93.06723779)"
661 WESTERN AVE N,09/18/2012 12:00:00 AM,Mixed Use,2,1,7,32600,"(44.96131619, -93.11627104)"
879 6TH ST E,11/04/2008 12:00:00 AM,Single Family Residential,2,7,4,33100,"(44.96044535, -93.06336716)"
362 SHERBURNE AVE,09/17/2018 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.95653018, -93.11544395)"
171 WYOMING ST E,09/11/2018 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.9205578, -93.07797476)"
1694 EDMUND AVE,09/24/2019 12:00:00 AM,Duplex,1,4,11,32000,"(44.95822271, -93.17179952)"
1119 RAYMOND AVE UNIT 2,06/07/2017 12:00:00 AM,Multi-family Residential,2,4,12,30100,"(44.97563186, -93.19288193)"
903 YORK AVE,06/13/2018 12:00:00 AM,Duplex,2,6,5,31600,"(44.96882435, -93.06206537)"
2120 ROSE AVE E,10/16/2019 12:00:00 AM,Single Family Residential,1,6,2,31802,"(44.97602003, -93.01087782)"
284 ALBERT ST S,04/12/2018 12:00:00 AM,Single Family Residential,2,3,14,36500,"(44.93297313, -93.15924514)"
380 RANDOLPH AVE,11/21/2006 12:00:00 AM,Commercial,2,2,9,36000,"(44.92671507, -93.11591551)"
360 FULLER AVE,08/16/2016 12:00:00 AM,Multi-family Residential,2,1,8,33700,"(44.95379932, -93.11533011)"
1095 4TH ST E,04/24/2020 12:00:00 AM,Single Family Residential,1,7,4,34601,"(44.95870587, -93.05413069)"
2039 CASE AVE,03/05/2019 12:00:00 AM,Single Family Residential,1,6,2,31802,"(44.97046105, -93.01433602)"
1656 GURNEY ST,11/09/2018 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.99115493, -93.09999674)"
678 SNELLING AVE N,10/05/2016 12:00:00 AM,Commercial,3,4,11,32100,"(44.96153928, -93.1668219)"
1475 PACIFIC ST,10/17/2017 12:00:00 AM,Single Family Residential,2,7,1,34602,"(44.95152562, -93.03812046)"
1655 WESTMINSTER ST,09/25/2019 12:00:00 AM,Single Family Residential,2,5,5,30601,"(44.99108369, -93.08653776)"
535 FOREST ST,04/26/2019 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95741044, -93.06116126)"
428 BAY ST,07/18/2018 12:00:00 AM,Single Family Residential,2,2,9,36800,"(44.92850757, -93.13047925)"
705 MAGNOLIA AVE E,10/09/2019 12:00:00 AM,Single Family Residential,1,6,5,31000,"(44.9740077, -93.07065305)"
318 WYOMING ST E,04/02/2020 12:00:00 AM,Single Family Residential,1,2,3,37200,"(44.92025487, -93.07188112)"
257 LAFOND AVE,07/18/2019 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.96051938, -93.11100726)"
702 WILSON AVE,01/15/2020 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.95286545, -93.06631087)"
